,file_name,breed_name,type,sample_count
0,n02085620_5927,Chihuahua,train,152.0
1,n02085620_4441,Chihuahua,train,152.0
2,n02085620_1502,Chihuahua,train,152.0
3,n02085620_1916,Chihuahua,train,152.0
4,n02085620_13151,Chihuahua,train,152.0
5,n02085620_1569,Chihuahua,train,152.0
6,n02085620_9654,Chihuahua,train,152.0
7,n02085620_3975,Chihuahua,train,152.0
8,n02085620_3942,Chihuahua,train,152.0
9,n02085620_9351,Chihuahua,train,152.0
10,n02085620_574,Chihuahua,train,152.0
11,n02085620_4998,Chihuahua,train,152.0
12,n02085620_7,Chihuahua,train,152.0
13,n02085620_1617,Chihuahua,train,152.0
14,n02085620_11140,Chihuahua,train,152.0
15,n02085620_5771,Chihuahua,train,152.0
16,n02085620_275,Chihuahua,train,152.0
17,n02085620_9399,Chihuahua,train,152.0
18,n02085620_10621,Chihuahua,train,152.0
19,n02085620_4266,Chihuahua,train,152.0
20,n02085620_7738,Chihuahua,train,152.0
21,n02085620_3110,Chihuahua,train,152.0
22,n02085620_12101,Chihuahua,train,152.0
23,n02085620_8558,Chihuahua,train,152.0
24,n02085620_7700,Chihuahua,train,152.0
25,n02085620_3208,Chihuahua,train,152.0
26,n02085620_5312,Chihuahua,train,152.0
27,n02085620_1152,Chihuahua,train,152.0
28,n02085620_4572,Chihuahua,train,152.0
29,n02085620_2706,Chihuahua,train,152.0
30,n02085620_473,Chihuahua,train,152.0
31,n02085620_1455,Chihuahua,train,152.0
32,n02085620_7440,Chihuahua,train,152.0
33,n02085620_9414,Chihuahua,train,152.0
34,n02085620_2208,Chihuahua,train,152.0
35,n02085620_3593,Chihuahua,train,152.0
36,n02085620_2921,Chihuahua,train,152.0
37,n02085620_500,Chihuahua,train,152.0
38,n02085620_9357,Chihuahua,train,152.0
39,n02085620_949,Chihuahua,train,152.0
40,n02085620_3423,Chihuahua,train,152.0
41,n02085620_3651,Chihuahua,train,152.0
42,n02085620_3407,Chihuahua,train,152.0
43,n02085620_2973,Chihuahua,train,152.0
44,n02085620_326,Chihuahua,train,152.0
45,n02085620_7292,Chihuahua,train,152.0
46,n02085620_4814,Chihuahua,train,152.0
47,n02085620_7613,Chihuahua,train,152.0
48,n02085620_2614,Chihuahua,train,152.0
49,n02085620_1558,Chihuahua,train,152.0
50,n02085620_11238,Chihuahua,train,152.0
51,n02085620_3838,Chihuahua,train,152.0
52,n02085620_4673,Chihuahua,train,152.0
53,n02085620_1816,Chihuahua,train,152.0
54,n02085620_4515,Chihuahua,train,152.0
55,n02085620_2887,Chihuahua,train,152.0
56,n02085620_3488,Chihuahua,train,152.0
57,n02085620_8611,Chihuahua,train,152.0
58,n02085620_3681,Chihuahua,train,152.0
59,n02085620_3880,Chihuahua,train,152.0
60,n02085620_2053,Chihuahua,train,152.0
61,n02085620_14413,Chihuahua,train,152.0
62,n02085620_712,Chihuahua,train,152.0
63,n02085620_8637,Chihuahua,train,152.0
64,n02085620_952,Chihuahua,train,152.0
65,n02085620_12334,Chihuahua,train,152.0
66,n02085620_735,Chihuahua,train,152.0
67,n02085620_199,Chihuahua,train,152.0
68,n02085620_575,Chihuahua,train,152.0
69,n02085620_2479,Chihuahua,train,152.0
70,n02085620_4980,Chihuahua,train,152.0
71,n02085620_431,Chihuahua,train,152.0
72,n02085620_368,Chihuahua,train,152.0
73,n02085620_11948,Chihuahua,train,152.0
74,n02085620_242,Chihuahua,train,152.0
75,n02085620_2793,Chihuahua,train,152.0
76,n02085620_2981,Chihuahua,train,152.0
77,n02085620_8636,Chihuahua,train,152.0
78,n02085620_4700,Chihuahua,train,152.0
79,n02085620_4016,Chihuahua,train,152.0
80,n02085620_5661,Chihuahua,train,152.0
81,n02085620_11258,Chihuahua,train,152.0
82,n02085620_3093,Chihuahua,train,152.0
83,n02085620_382,Chihuahua,train,152.0
84,n02085620_8491,Chihuahua,train,152.0
85,n02085620_3928,Chihuahua,train,152.0
86,n02085620_4290,Chihuahua,train,152.0
87,n02085620_8420,Chihuahua,train,152.0
88,n02085620_3763,Chihuahua,train,152.0
89,n02085620_2903,Chihuahua,train,152.0
90,n02085620_477,Chihuahua,train,152.0
91,n02085620_3677,Chihuahua,train,152.0
92,n02085620_8585,Chihuahua,train,152.0
93,n02085620_10976,Chihuahua,train,152.0
94,n02085620_2507,Chihuahua,train,152.0
95,n02085620_4875,Chihuahua,train,152.0
96,n02085620_2693,Chihuahua,train,152.0
97,n02085620_14516,Chihuahua,train,152.0
98,n02085620_1298,Chihuahua,train,152.0
99,n02085620_1346,Chihuahua,train,152.0
100,n02085782_1521,Japanese_spaniel,train,185.0
101,n02085782_874,Japanese_spaniel,train,185.0
102,n02085782_4365,Japanese_spaniel,train,185.0
103,n02085782_3019,Japanese_spaniel,train,185.0
104,n02085782_3889,Japanese_spaniel,train,185.0
105,n02085782_3387,Japanese_spaniel,train,185.0
106,n02085782_4590,Japanese_spaniel,train,185.0
107,n02085782_1528,Japanese_spaniel,train,185.0
108,n02085782_4574,Japanese_spaniel,train,185.0
109,n02085782_143,Japanese_spaniel,train,185.0
110,n02085782_754,Japanese_spaniel,train,185.0
111,n02085782_4616,Japanese_spaniel,train,185.0
112,n02085782_1778,Japanese_spaniel,train,185.0
113,n02085782_668,Japanese_spaniel,train,185.0
114,n02085782_2922,Japanese_spaniel,train,185.0
115,n02085782_1348,Japanese_spaniel,train,185.0
116,n02085782_4772,Japanese_spaniel,train,185.0
117,n02085782_3481,Japanese_spaniel,train,185.0
118,n02085782_940,Japanese_spaniel,train,185.0
119,n02085782_3727,Japanese_spaniel,train,185.0
120,n02085782_2635,Japanese_spaniel,train,185.0
121,n02085782_1191,Japanese_spaniel,train,185.0
122,n02085782_2796,Japanese_spaniel,train,185.0
123,n02085782_1350,Japanese_spaniel,train,185.0
124,n02085782_676,Japanese_spaniel,train,185.0
125,n02085782_3649,Japanese_spaniel,train,185.0
126,n02085782_516,Japanese_spaniel,train,185.0
127,n02085782_935,Japanese_spaniel,train,185.0
128,n02085782_4436,Japanese_spaniel,train,185.0
129,n02085782_1552,Japanese_spaniel,train,185.0
130,n02085782_23,Japanese_spaniel,train,185.0
131,n02085782_697,Japanese_spaniel,train,185.0
132,n02085782_4332,Japanese_spaniel,train,185.0
133,n02085782_1731,Japanese_spaniel,train,185.0
134,n02085782_2459,Japanese_spaniel,train,185.0
135,n02085782_172,Japanese_spaniel,train,185.0
136,n02085782_2279,Japanese_spaniel,train,185.0
137,n02085782_3870,Japanese_spaniel,train,185.0
138,n02085782_2207,Japanese_spaniel,train,185.0
139,n02085782_2762,Japanese_spaniel,train,185.0
140,n02085782_2293,Japanese_spaniel,train,185.0
141,n02085782_230,Japanese_spaniel,train,185.0
142,n02085782_2255,Japanese_spaniel,train,185.0
143,n02085782_313,Japanese_spaniel,train,185.0
144,n02085782_1434,Japanese_spaniel,train,185.0
145,n02085782_3065,Japanese_spaniel,train,185.0
146,n02085782_435,Japanese_spaniel,train,185.0
