file_name,breed_name,type
n02085620_5927,Chihuahua,train
n02085620_4441,Chihuahua,train
n02085620_1502,Chihuahua,train
n02085620_1916,Chihuahua,train
n02085620_13151,Chihuahua,train
n02085620_1569,Chihuahua,train
n02085620_9654,Chihuahua,train
n02085620_3975,Chihuahua,train
n02085620_3942,Chihuahua,train
n02085620_9351,Chihuahua,train
n02085620_574,Chihuahua,train
n02085620_4998,Chihuahua,train
n02085620_7,Chihuahua,train
n02085620_1617,Chihuahua,train
n02085620_11140,Chihuahua,train
n02085620_5771,Chihuahua,train
n02085620_275,Chihuahua,train
n02085620_9399,Chihuahua,train
n02085620_10621,Chihuahua,train
n02085620_4266,Chihuahua,train
n02085620_7738,Chihuahua,train
n02085620_3110,Chihuahua,train
n02085620_12101,Chihuahua,train
n02085620_8558,Chihuahua,train
n02085620_7700,Chihuahua,train
n02085620_3208,Chihuahua,train
n02085620_5312,Chihuahua,train
n02085620_1152,Chihuahua,train
n02085620_4572,Chihuahua,train
n02085620_2706,Chihuahua,train
n02085620_473,Chihuahua,train
n02085620_1455,Chihuahua,train
n02085620_7440,Chihuahua,train
n02085620_9414,Chihuahua,train
n02085620_2208,Chihuahua,train
n02085620_3593,Chihuahua,train
n02085620_2921,Chihuahua,train
n02085620_500,Chihuahua,train
n02085620_9357,Chihuahua,train
n02085620_949,Chihuahua,train
n02085620_3423,Chihuahua,train
n02085620_3651,Chihuahua,train
n02085620_3407,Chihuahua,train
n02085620_2973,Chihuahua,train
n02085620_326,Chihuahua,train
n02085620_7292,Chihuahua,train
n02085620_4814,Chihuahua,train
n02085620_7613,Chihuahua,train
n02085620_2614,Chihuahua,train
n02085620_1558,Chihuahua,train
n02085620_11238,Chihuahua,train
n02085620_3838,Chihuahua,train
n02085620_4673,Chihuahua,train
n02085620_1816,Chihuahua,train
n02085620_4515,Chihuahua,train
n02085620_2887,Chihuahua,train
n02085620_3488,Chihuahua,train
n02085620_8611,Chihuahua,train
n02085620_3681,Chihuahua,train
n02085620_3880,Chihuahua,train
n02085620_2053,Chihuahua,train
n02085620_14413,Chihuahua,train
n02085620_712,Chihuahua,train
n02085620_8637,Chihuahua,train
n02085620_952,Chihuahua,train
n02085620_12334,Chihuahua,train
n02085620_735,Chihuahua,train
n02085620_199,Chihuahua,train
n02085620_575,Chihuahua,train
n02085620_2479,Chihuahua,train
n02085620_4980,Chihuahua,train
n02085620_431,Chihuahua,train
n02085620_368,Chihuahua,train
n02085620_11948,Chihuahua,train
n02085620_242,Chihuahua,train
n02085620_2793,Chihuahua,train
n02085620_2981,Chihuahua,train
n02085620_8636,Chihuahua,train
n02085620_4700,Chihuahua,train
n02085620_4016,Chihuahua,train
n02085620_5661,Chihuahua,train
n02085620_11258,Chihuahua,train
n02085620_3093,Chihuahua,train
n02085620_382,Chihuahua,train
n02085620_8491,Chihuahua,train
n02085620_3928,Chihuahua,train
n02085620_4290,Chihuahua,train
n02085620_8420,Chihuahua,train
n02085620_3763,Chihuahua,train
n02085620_2903,Chihuahua,train
n02085620_477,Chihuahua,train
n02085620_3677,Chihuahua,train
n02085620_8585,Chihuahua,train
n02085620_10976,Chihuahua,train
n02085620_2507,Chihuahua,train
n02085620_4875,Chihuahua,train
n02085620_2693,Chihuahua,train
n02085620_14516,Chihuahua,train
n02085620_1298,Chihuahua,train
n02085620_1346,Chihuahua,train
n02085782_1521,Japanese_spaniel,train
n02085782_874,Japanese_spaniel,train
n02085782_4365,Japanese_spaniel,train
n02085782_3019,Japanese_spaniel,train
n02085782_3889,Japanese_spaniel,train
n02085782_3387,Japanese_spaniel,train
n02085782_4590,Japanese_spaniel,train
n02085782_1528,Japanese_spaniel,train
n02085782_4574,Japanese_spaniel,train
n02085782_143,Japanese_spaniel,train
n02085782_754,Japanese_spaniel,train
n02085782_4616,Japanese_spaniel,train
n02085782_1778,Japanese_spaniel,train
n02085782_668,Japanese_spaniel,train
n02085782_2922,Japanese_spaniel,train
n02085782_1348,Japanese_spaniel,train
n02085782_4772,Japanese_spaniel,train
n02085782_3481,Japanese_spaniel,train
n02085782_940,Japanese_spaniel,train
n02085782_3727,Japanese_spaniel,train
n02085782_2635,Japanese_spaniel,train
n02085782_1191,Japanese_spaniel,train
n02085782_2796,Japanese_spaniel,train
n02085782_1350,Japanese_spaniel,train
n02085782_676,Japanese_spaniel,train
n02085782_3649,Japanese_spaniel,train
n02085782_516,Japanese_spaniel,train
n02085782_935,Japanese_spaniel,train
n02085782_4436,Japanese_spaniel,train
n02085782_1552,Japanese_spaniel,train
n02085782_23,Japanese_spaniel,train
n02085782_697,Japanese_spaniel,train
n02085782_4332,Japanese_spaniel,train
n02085782_1731,Japanese_spaniel,train
n02085782_2459,Japanese_spaniel,train
n02085782_172,Japanese_spaniel,train
n02085782_2279,Japanese_spaniel,train
n02085782_3870,Japanese_spaniel,train
n02085782_2207,Japanese_spaniel,train
n02085782_2762,Japanese_spaniel,train
n02085782_2293,Japanese_spaniel,train
n02085782_230,Japanese_spaniel,train
n02085782_2255,Japanese_spaniel,train
n02085782_313,Japanese_spaniel,train
n02085782_1434,Japanese_spaniel,train
n02085782_3065,Japanese_spaniel,train
n02085782_435,Japanese_spaniel,train
n02085782_1267,Japanese_spaniel,train
n02085782_2640,Japanese_spaniel,train
n02085782_3499,Japanese_spaniel,train
n02085782_2690,Japanese_spaniel,train
n02085782_2939,Japanese_spaniel,train
n02085782_845,Japanese_spaniel,train
n02085782_1691,Japanese_spaniel,train
n02085782_28,Japanese_spaniel,train
n02085782_2241,Japanese_spaniel,train
n02085782_1890,Japanese_spaniel,train
n02085782_2345,Japanese_spaniel,train
n02085782_2874,Japanese_spaniel,train
n02085782_385,Japanese_spaniel,train
n02085782_3516,Japanese_spaniel,train
n02085782_1085,Japanese_spaniel,train
n02085782_2074,Japanese_spaniel,train
n02085782_1460,Japanese_spaniel,train
n02085782_3331,Japanese_spaniel,train
n02085782_1750,Japanese_spaniel,train
n02085782_1156,Japanese_spaniel,train
n02085782_962,Japanese_spaniel,train
n02085782_2010,Japanese_spaniel,train
n02085782_126,Japanese_spaniel,train
n02085782_698,Japanese_spaniel,train
n02085782_3325,Japanese_spaniel,train
n02085782_757,Japanese_spaniel,train
n02085782_1284,Japanese_spaniel,train
n02085782_2655,Japanese_spaniel,train
n02085782_806,Japanese_spaniel,train
n02085782_2886,Japanese_spaniel,train
n02085782_2428,Japanese_spaniel,train
n02085782_866,Japanese_spaniel,train
n02085782_664,Japanese_spaniel,train
n02085782_2323,Japanese_spaniel,train
n02085782_1855,Japanese_spaniel,train
n02085782_2584,Japanese_spaniel,train
n02085782_186,Japanese_spaniel,train
n02085782_1656,Japanese_spaniel,train
n02085782_626,Japanese_spaniel,train
n02085782_3071,Japanese_spaniel,train
n02085782_2250,Japanese_spaniel,train
n02085782_4564,Japanese_spaniel,train
n02085782_3966,Japanese_spaniel,train
n02085782_1848,Japanese_spaniel,train
n02085782_3031,Japanese_spaniel,train
n02085782_3148,Japanese_spaniel,train
n02085782_1077,Japanese_spaniel,train
n02085782_440,Japanese_spaniel,train
n02085782_1059,Japanese_spaniel,train
n02085782_3781,Japanese_spaniel,train
n02085782_3899,Japanese_spaniel,train
n02085782_4511,Japanese_spaniel,train
n02085782_2914,Japanese_spaniel,train
n02085936_3863,Maltese_dog,train
n02085936_3677,Maltese_dog,train
n02085936_8224,Maltese_dog,train
n02085936_20313,Maltese_dog,train
n02085936_1288,Maltese_dog,train
n02085936_233,Maltese_dog,train
n02085936_4245,Maltese_dog,train
n02085936_7537,Maltese_dog,train
n02085936_10273,Maltese_dog,train
n02085936_6514,Maltese_dog,train
n02085936_338,Maltese_dog,train
n02085936_24178,Maltese_dog,train
n02085936_2832,Maltese_dog,train
n02085936_461,Maltese_dog,train
n02085936_7142,Maltese_dog,train
n02085936_2203,Maltese_dog,train
n02085936_2636,Maltese_dog,train
n02085936_6424,Maltese_dog,train
n02085936_19558,Maltese_dog,train
n02085936_6464,Maltese_dog,train
n02085936_5596,Maltese_dog,train
n02085936_5012,Maltese_dog,train
n02085936_16190,Maltese_dog,train
n02085936_1244,Maltese_dog,train
n02085936_6942,Maltese_dog,train
n02085936_7442,Maltese_dog,train
n02085936_4271,Maltese_dog,train
n02085936_2905,Maltese_dog,train
n02085936_9481,Maltese_dog,train
n02085936_14432,Maltese_dog,train
n02085936_2135,Maltese_dog,train
n02085936_9088,Maltese_dog,train
n02085936_126,Maltese_dog,train
n02085936_4257,Maltese_dog,train
n02085936_11744,Maltese_dog,train
n02085936_2154,Maltese_dog,train
n02085936_4569,Maltese_dog,train
n02085936_137,Maltese_dog,train
n02085936_1556,Maltese_dog,train
n02085936_4351,Maltese_dog,train
n02085936_6927,Maltese_dog,train
n02085936_8417,Maltese_dog,train
n02085936_10073,Maltese_dog,train
n02085936_9590,Maltese_dog,train
n02085936_4929,Maltese_dog,train
n02085936_8756,Maltese_dog,train
n02085936_6405,Maltese_dog,train
n02085936_3394,Maltese_dog,train
n02085936_16355,Maltese_dog,train
n02085936_5010,Maltese_dog,train
n02085936_3292,Maltese_dog,train
n02085936_771,Maltese_dog,train
n02085936_4474,Maltese_dog,train
n02085936_17059,Maltese_dog,train
n02085936_3391,Maltese_dog,train
n02085936_544,Maltese_dog,train
n02085936_20102,Maltese_dog,train
n02085936_7515,Maltese_dog,train
n02085936_5545,Maltese_dog,train
n02085936_17631,Maltese_dog,train
n02085936_2889,Maltese_dog,train
n02085936_4490,Maltese_dog,train
n02085936_10307,Maltese_dog,train
n02085936_8365,Maltese_dog,train
n02085936_2927,Maltese_dog,train
n02085936_4608,Maltese_dog,train
n02085936_3315,Maltese_dog,train
n02085936_17116,Maltese_dog,train
n02085936_10646,Maltese_dog,train
n02085936_21320,Maltese_dog,train
n02085936_5582,Maltese_dog,train
n02085936_2422,Maltese_dog,train
n02085936_4188,Maltese_dog,train
n02085936_2627,Maltese_dog,train
n02085936_8900,Maltese_dog,train
n02085936_8248,Maltese_dog,train
n02085936_10148,Maltese_dog,train
n02085936_4318,Maltese_dog,train
n02085936_18640,Maltese_dog,train
n02085936_3470,Maltese_dog,train
n02085936_7394,Maltese_dog,train
n02085936_517,Maltese_dog,train
n02085936_7865,Maltese_dog,train
n02085936_6650,Maltese_dog,train
n02085936_1390,Maltese_dog,train
n02085936_1549,Maltese_dog,train
n02085936_8745,Maltese_dog,train
n02085936_16565,Maltese_dog,train
n02085936_3698,Maltese_dog,train
n02085936_8507,Maltese_dog,train
n02085936_7272,Maltese_dog,train
n02085936_797,Maltese_dog,train
n02085936_8616,Maltese_dog,train
n02085936_6569,Maltese_dog,train
n02085936_9632,Maltese_dog,train
n02085936_2465,Maltese_dog,train
n02085936_5250,Maltese_dog,train
n02085936_10610,Maltese_dog,train
n02085936_10377,Maltese_dog,train
n02085936_2167,Maltese_dog,train
n02086079_11664,Pekinese,train
n02086079_16268,Pekinese,train
n02086079_5522,Pekinese,train
n02086079_4984,Pekinese,train
n02086079_17291,Pekinese,train
n02086079_18899,Pekinese,train
n02086079_17686,Pekinese,train
n02086079_347,Pekinese,train
n02086079_6180,Pekinese,train
n02086079_10689,Pekinese,train
n02086079_8204,Pekinese,train
n02086079_380,Pekinese,train
n02086079_2893,Pekinese,train
n02086079_14748,Pekinese,train
n02086079_1020,Pekinese,train
n02086079_7959,Pekinese,train
n02086079_9151,Pekinese,train
n02086079_2933,Pekinese,train
n02086079_10294,Pekinese,train
n02086079_6712,Pekinese,train
n02086079_16313,Pekinese,train
n02086079_1820,Pekinese,train
n02086079_21117,Pekinese,train
n02086079_4843,Pekinese,train
n02086079_10373,Pekinese,train
n02086079_2935,Pekinese,train
n02086079_18764,Pekinese,train
n02086079_10627,Pekinese,train
n02086079_3149,Pekinese,train
n02086079_869,Pekinese,train
n02086079_6243,Pekinese,train
n02086079_4412,Pekinese,train
n02086079_8074,Pekinese,train
n02086079_952,Pekinese,train
n02086079_1877,Pekinese,train
n02086079_10613,Pekinese,train
n02086079_17983,Pekinese,train
n02086079_186,Pekinese,train
n02086079_2766,Pekinese,train
n02086079_2287,Pekinese,train
n02086079_8726,Pekinese,train
n02086079_17015,Pekinese,train
n02086079_13647,Pekinese,train
n02086079_14532,Pekinese,train
n02086079_22412,Pekinese,train
n02086079_19863,Pekinese,train
n02086079_7235,Pekinese,train
n02086079_5087,Pekinese,train
n02086079_9847,Pekinese,train
n02086079_5053,Pekinese,train
n02086079_10059,Pekinese,train
n02086079_6467,Pekinese,train
n02086079_5106,Pekinese,train
n02086079_8595,Pekinese,train
n02086079_606,Pekinese,train
n02086079_8127,Pekinese,train
n02086079_1759,Pekinese,train
n02086079_4456,Pekinese,train
n02086079_7302,Pekinese,train
n02086079_2368,Pekinese,train
n02086079_21103,Pekinese,train
n02086079_6096,Pekinese,train
n02086079_7769,Pekinese,train
n02086079_5125,Pekinese,train
n02086079_8902,Pekinese,train
n02086079_12321,Pekinese,train
n02086079_16693,Pekinese,train
n02086079_17886,Pekinese,train
n02086079_21987,Pekinese,train
n02086079_10615,Pekinese,train
n02086079_10603,Pekinese,train
n02086079_13897,Pekinese,train
n02086079_2073,Pekinese,train
n02086079_4355,Pekinese,train
n02086079_8229,Pekinese,train
n02086079_12125,Pekinese,train
n02086079_10159,Pekinese,train
n02086079_20762,Pekinese,train
n02086079_20360,Pekinese,train
n02086079_6956,Pekinese,train
n02086079_17103,Pekinese,train
n02086079_5590,Pekinese,train
n02086079_10932,Pekinese,train
n02086079_9408,Pekinese,train
n02086079_23100,Pekinese,train
n02086079_3402,Pekinese,train
n02086079_14307,Pekinese,train
n02086079_15979,Pekinese,train
n02086079_15871,Pekinese,train
n02086079_11089,Pekinese,train
n02086079_1451,Pekinese,train
n02086079_9756,Pekinese,train
n02086079_11684,Pekinese,train
n02086079_17564,Pekinese,train
n02086079_3174,Pekinese,train
n02086079_14929,Pekinese,train
n02086079_17205,Pekinese,train
n02086079_19690,Pekinese,train
n02086079_2358,Pekinese,train
n02086079_5197,Pekinese,train
n02086240_5696,Shih-Tzu,train
n02086240_1295,Shih-Tzu,train
n02086240_11085,Shih-Tzu,train
n02086240_789,Shih-Tzu,train
n02086240_5212,Shih-Tzu,train
n02086240_1205,Shih-Tzu,train
n02086240_1333,Shih-Tzu,train
n02086240_2211,Shih-Tzu,train
n02086240_1082,Shih-Tzu,train
n02086240_5443,Shih-Tzu,train
n02086240_1725,Shih-Tzu,train
n02086240_11959,Shih-Tzu,train
n02086240_1078,Shih-Tzu,train
n02086240_2254,Shih-Tzu,train
n02086240_6924,Shih-Tzu,train
n02086240_6587,Shih-Tzu,train
n02086240_12342,Shih-Tzu,train
n02086240_323,Shih-Tzu,train
n02086240_3719,Shih-Tzu,train
n02086240_2335,Shih-Tzu,train
n02086240_12315,Shih-Tzu,train
n02086240_4252,Shih-Tzu,train
n02086240_5627,Shih-Tzu,train
n02086240_11420,Shih-Tzu,train
n02086240_9467,Shih-Tzu,train
n02086240_6082,Shih-Tzu,train
n02086240_4013,Shih-Tzu,train
n02086240_11622,Shih-Tzu,train
